allocation,allocation_strength,block_macs,block_types,counting_convention,delta_gpu_hours_vs_control,delta_train_loss_vs_control,delta_validation_loss_vs_control,delta_wall_seconds_vs_control,depth,effective_batch_size_single_gpu,elapsed_human,epoch,epoch_progress_percent,epochs_completed,estimated_total_epochs,eta_human,eta_seconds,event,experiment,gate_mode,gflops_fma2,gmacs_per_image,gpu_hours,gradient_norm,group,hidden_size,image_size,interval_images_per_second,macs_per_image,max_steps,memory_b03_decay_mean,memory_b03_decay_std,memory_b03_decay_tq1,memory_b03_decay_tq2,memory_b03_decay_tq3,memory_b03_decay_tq4,memory_b03_erase_mean,memory_b03_erase_std,memory_b03_erase_tq1,memory_b03_erase_tq2,memory_b03_erase_tq3,memory_b03_erase_tq4,memory_b03_erase_write_abs_gap_mean,memory_b03_erase_write_abs_gap_std,memory_b03_erase_write_abs_gap_tq1,memory_b03_erase_write_abs_gap_tq2,memory_b03_erase_write_abs_gap_tq3,memory_b03_erase_write_abs_gap_tq4,memory_b03_gate_saturation_fraction_mean,memory_b03_gate_saturation_fraction_std,memory_b03_gate_saturation_fraction_tq1,memory_b03_gate_saturation_fraction_tq2,memory_b03_gate_saturation_fraction_tq3,memory_b03_gate_saturation_fraction_tq4,memory_b03_lambda_mean,memory_b03_lambda_std,memory_b03_lambda_tq1,memory_b03_lambda_tq2,memory_b03_lambda_tq3,memory_b03_lambda_tq4,memory_b03_output_rms_mean,memory_b03_output_rms_std,memory_b03_output_rms_tq1,memory_b03_output_rms_tq2,memory_b03_output_rms_tq3,memory_b03_output_rms_tq4,memory_b03_state_rms_mean,memory_b03_state_rms_std,memory_b03_state_rms_tq1,memory_b03_state_rms_tq2,memory_b03_state_rms_tq3,memory_b03_state_rms_tq4,memory_b03_write_mean,memory_b03_write_std,memory_b03_write_tq1,memory_b03_write_tq2,memory_b03_write_tq3,memory_b03_write_tq4,memory_b06_decay_mean,memory_b06_decay_std,memory_b06_decay_tq1,memory_b06_decay_tq2,memory_b06_decay_tq3,memory_b06_decay_tq4,memory_b06_erase_mean,memory_b06_erase_std,memory_b06_erase_tq1,memory_b06_erase_tq2,memory_b06_erase_tq3,memory_b06_erase_tq4,memory_b06_erase_write_abs_gap_mean,memory_b06_erase_write_abs_gap_std,memory_b06_erase_write_abs_gap_tq1,memory_b06_erase_write_abs_gap_tq2,memory_b06_erase_write_abs_gap_tq3,memory_b06_erase_write_abs_gap_tq4,memory_b06_gate_saturation_fraction_mean,memory_b06_gate_saturation_fraction_std,memory_b06_gate_saturation_fraction_tq1,memory_b06_gate_saturation_fraction_tq2,memory_b06_gate_saturation_fraction_tq3,memory_b06_gate_saturation_fraction_tq4,memory_b06_lambda_mean,memory_b06_lambda_std,memory_b06_lambda_tq1,memory_b06_lambda_tq2,memory_b06_lambda_tq3,memory_b06_lambda_tq4,memory_b06_output_rms_mean,memory_b06_output_rms_std,memory_b06_output_rms_tq1,memory_b06_output_rms_tq2,memory_b06_output_rms_tq3,memory_b06_output_rms_tq4,memory_b06_state_rms_mean,memory_b06_state_rms_std,memory_b06_state_rms_tq1,memory_b06_state_rms_tq2,memory_b06_state_rms_tq3,memory_b06_state_rms_tq4,memory_b06_write_mean,memory_b06_write_std,memory_b06_write_tq1,memory_b06_write_tq2,memory_b06_write_tq3,memory_b06_write_tq4,memory_b09_decay_mean,memory_b09_decay_std,memory_b09_decay_tq1,memory_b09_decay_tq2,memory_b09_decay_tq3,memory_b09_decay_tq4,memory_b09_erase_mean,memory_b09_erase_std,memory_b09_erase_tq1,memory_b09_erase_tq2,memory_b09_erase_tq3,memory_b09_erase_tq4,memory_b09_erase_write_abs_gap_mean,memory_b09_erase_write_abs_gap_std,memory_b09_erase_write_abs_gap_tq1,memory_b09_erase_write_abs_gap_tq2,memory_b09_erase_write_abs_gap_tq3,memory_b09_erase_write_abs_gap_tq4,memory_b09_gate_saturation_fraction_mean,memory_b09_gate_saturation_fraction_std,memory_b09_gate_saturation_fraction_tq1,memory_b09_gate_saturation_fraction_tq2,memory_b09_gate_saturation_fraction_tq3,memory_b09_gate_saturation_fraction_tq4,memory_b09_lambda_mean,memory_b09_lambda_std,memory_b09_lambda_tq1,memory_b09_lambda_tq2,memory_b09_lambda_tq3,memory_b09_lambda_tq4,memory_b09_output_rms_mean,memory_b09_output_rms_std,memory_b09_output_rms_tq1,memory_b09_output_rms_tq2,memory_b09_output_rms_tq3,memory_b09_output_rms_tq4,memory_b09_state_rms_mean,memory_b09_state_rms_std,memory_b09_state_rms_tq1,memory_b09_state_rms_tq2,memory_b09_state_rms_tq3,memory_b09_state_rms_tq4,memory_b09_write_mean,memory_b09_write_std,memory_b09_write_tq1,memory_b09_write_tq2,memory_b09_write_tq3,memory_b09_write_tq4,memory_b12_decay_mean,memory_b12_decay_std,memory_b12_decay_tq1,memory_b12_decay_tq2,memory_b12_decay_tq3,memory_b12_decay_tq4,memory_b12_erase_mean,memory_b12_erase_std,memory_b12_erase_tq1,memory_b12_erase_tq2,memory_b12_erase_tq3,memory_b12_erase_tq4,memory_b12_erase_write_abs_gap_mean,memory_b12_erase_write_abs_gap_std,memory_b12_erase_write_abs_gap_tq1,memory_b12_erase_write_abs_gap_tq2,memory_b12_erase_write_abs_gap_tq3,memory_b12_erase_write_abs_gap_tq4,memory_b12_gate_saturation_fraction_mean,memory_b12_gate_saturation_fraction_std,memory_b12_gate_saturation_fraction_tq1,memory_b12_gate_saturation_fraction_tq2,memory_b12_gate_saturation_fraction_tq3,memory_b12_gate_saturation_fraction_tq4,memory_b12_lambda_mean,memory_b12_lambda_std,memory_b12_lambda_tq1,memory_b12_lambda_tq2,memory_b12_lambda_tq3,memory_b12_lambda_tq4,memory_b12_output_rms_mean,memory_b12_output_rms_std,memory_b12_output_rms_tq1,memory_b12_output_rms_tq2,memory_b12_output_rms_tq3,memory_b12_output_rms_tq4,memory_b12_state_rms_mean,memory_b12_state_rms_std,memory_b12_state_rms_tq1,memory_b12_state_rms_tq2,memory_b12_state_rms_tq3,memory_b12_state_rms_tq4,memory_b12_write_mean,memory_b12_write_std,memory_b12_write_tq1,memory_b12_write_tq2,memory_b12_write_tq3,memory_b12_write_tq4,memory_backend,memory_block_indices,microbatches_consumed,mixer_macs,mlp_hidden_sizes,mlp_hidden_sum,num_heads,paired_control_group,parameters_mlp,parameters_total,parameters_trainable,patch_size,peak_allocated_mb,peak_reserved_mb,phase,precision,preview_failures,progress_percent,recurrent_state_shape,samples_seen,scan_directions,seed,skipped_updates,source,step,steps_remaining,tokens,train_loss,validation_failures,validation_loss,validation_loss_tq1,validation_loss_tq2,validation_loss_tq3,validation_loss_tq4,wall_seconds
uniform,0.0,"[504201216, 504201216, 504201216, 504201216, 504201216, 504201216, 504201216, 504201216, 504201216, 504201216, 504201216, 504201216]","['softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention', 'softmax_attention']","analytic dense MACs per image; one multiply-accumulate=1 MAC; includes patch/timestep projections, mixer projections, softmax QK+AV or the operator-equivalent GDN2 state recurrence, FFN, adaLN and output projection; excludes bias, normalization, nonlinear activation, trigonometric embedding and additions",,,,,12,128,00m58s,2,42.2475106685633,1,1.422475106685633,00m00s,0.0,train,pilot_a0_softmax_seed11,,12.10662912,6.05331456,0.01652085069111005,0.6033644676208496,e0_original,384,32,1203.9476806252928,6053314560,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],4000,"[201326592, 201326592, 201326592, 201326592, 201326592, 201326592, 201326592, 201326592, 201326592, 201326592, 201326592, 201326592]","[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",18432,6,,14178816,32475660,32475660,2,1707.15185546875,1770.0,pilot,bf16,0,100.0,,64000,"[None, None, None, None, None, None, None, None, None, None, None, None]",11,0,outputs/pilot_a0_softmax_seed11/final_metrics.json,500,0,256,0.060039217583835125,0,0.9825603120028973,0.991078163245145,0.9820234183293239,0.9788551574572921,0.9775216361276464,59.475060145021416
uniform,0.0,"[493191168, 493191168, 501252128, 493191168, 493191168, 501252128, 493191168, 493191168, 501252128, 493191168, 493191168, 501252128]","['softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory']","analytic dense MACs per image; one multiply-accumulate=1 MAC; includes patch/timestep projections, mixer projections, softmax QK+AV or the operator-equivalent GDN2 state recurrence, FFN, adaLN and output projection; excludes bias, normalization, nonlinear activation, trigonometric embedding and additions",0.010428319129180939,-0.0038678492419421673,6.778314709665612e-05,37.54194903397001,12,128,01m34s,2,42.2475106685633,1,1.422475106685633,00m00s,0.0,train,pilot_m0_coupled_seed11,coupled,11.906875648,5.953437824,0.02694916982029099,0.47829973697662354,m0_coupled,384,32,728.2856390166182,5953437824,500,0.8077163100242615,0.0,0.8077893853187561,0.8077405095100403,0.807672917842865,0.807654857635498,0.4981140196323395,0.00042286395910196006,0.49826517701148987,0.4980842173099518,0.498046875,0.498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033434629440308,0.0011960399569943547,0.5018694996833801,0.5035712122917175,0.5040112733840942,0.5040493607521057,0.14014485478401184,0.0011716524604707956,0.139192134141922,0.13984642922878265,0.14074526727199554,0.14088177680969238,0.4981140196323395,0.00042286395910196006,0.49826517701148987,0.4980842173099518,0.498046875,0.498046875,0.8352656364440918,0.000244140625,0.8351839780807495,0.8352739214897156,0.8353007435798645,0.8353114724159241,0.498046875,0.0,0.498046875,0.498046875,0.498046875,0.498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499837726354599,0.00040486143552698195,0.49974387884140015,0.4996967613697052,0.49990373849868774,0.5000172257423401,0.1516330987215042,0.002629120834171772,0.14829407632350922,0.15122070908546448,0.15352845191955566,0.1537841260433197,0.498046875,0.0,0.498046875,0.498046875,0.498046875,0.498046875,0.8387327194213867,0.0,0.8387018442153931,0.8387266397476196,0.8387436866760254,0.8387618064880371,0.49819642305374146,0.0006224389071576297,0.4984489977359772,0.49821484088897705,0.4980529844760895,0.498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5023173093795776,0.0010066175600513816,0.5014153718948364,0.5023727416992188,0.50275057554245,0.5028095245361328,0.15420104563236237,0.0030453423969447613,0.15044520795345306,0.15390242636203766,0.15632066130638123,0.15646390616893768,0.49819642305374146,0.0006224389071576297,0.4984489977359772,0.49821484088897705,0.4980529844760895,0.498046875,0.8404397368431091,0.0,0.8404354453086853,0.8404406905174255,0.8404426574707031,0.840440034866333,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5019707083702087,0.0006905339541845024,0.5021503567695618,0.5020161271095276,0.5018332600593567,0.5018681883811951,0.15236429870128632,0.0021746852435171604,0.15016084909439087,0.15184901654720306,0.1538117378950119,0.1538277119398117,0.5,0.0,0.5,0.5,0.5,0.5,fla,"[2, 5, 8, 11]",4000,"[201326592, 201326592, 209387552, 201326592, 201326592, 209387552, 201326592, 201326592, 209387552, 201326592, 201326592, 209387552]","[1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480]",17760,6,e0_original,13662048,32475208,32475208,2,1940.03076171875,2020.0,pilot,bf16,0,100.0,"[6, 64, 64]",64000,"[None, None, 'lr', None, None, 'rl', None, None, 'tb', None, None, 'bt']",11,0,outputs/pilot_m0_coupled_seed11/final_metrics.json,500,0,256,0.05617136834189296,0,0.9826280951499939,0.9911072177045486,0.9821112059104214,0.9789437660947442,0.9775901629644281,97.01700917899143
uniform,0.0,"[493191168, 493191168, 501252128, 493191168, 493191168, 501252128, 493191168, 493191168, 501252128, 493191168, 493191168, 501252128]","['softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory']","analytic dense MACs per image; one multiply-accumulate=1 MAC; includes patch/timestep projections, mixer projections, softmax QK+AV or the operator-equivalent GDN2 state recurrence, FFN, adaLN and output projection; excludes bias, normalization, nonlinear activation, trigonometric embedding and additions",0.00985404520528391,-0.003809951012954116,6.85863196849823e-05,35.474562747986056,12,128,01m33s,2,42.2475106685633,1,1.422475106685633,00m00s,0.0,train,pilot_m1_separated_seed11,separated,11.906875648,5.953437824,0.02637489589639396,0.5688488483428955,m1_separated,384,32,713.4764535421432,5953437824,500,0.8077228665351868,0.0,0.8077968955039978,0.807747483253479,0.8076794743537903,0.8076611757278442,0.4960952699184418,0.0001726334885461256,0.4960995018482208,0.49609375,0.49609375,0.49609375,0.07850151509046555,0.0011558469850569963,0.07941320538520813,0.07838314026594162,0.07804260402917862,0.0780898928642273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5028945803642273,0.0011960399569943547,0.5013888478279114,0.5031130909919739,0.5035796761512756,0.5036270618438721,0.14218486845493317,0.0012084344634786248,0.14124737679958344,0.1418859213590622,0.14278610050678253,0.1429046094417572,0.5001282095909119,0.0006686066626571119,0.5004595518112183,0.5000249147415161,0.5,0.5,0.8353257179260254,0.0,0.8352448344230652,0.8353334665298462,0.8353601694107056,0.8353710770606995,0.49652099609375,0.000827921146992594,0.4964039623737335,0.4965042769908905,0.4965759217739105,0.49661076068878174,0.06668587028980255,0.0008205767371691763,0.06695197522640228,0.06668771058320999,0.06655579060316086,0.06652433425188065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4997345507144928,0.0005459150415845215,0.49969834089279175,0.4995790421962738,0.49978023767471313,0.4998868703842163,0.15370379388332367,0.0025005799252539873,0.1505686491727829,0.1532772183418274,0.15549537539482117,0.1557513177394867,0.5,0.0,0.5,0.5,0.5,0.5,0.8387476205825806,0.0,0.8387162089347839,0.8387413620948792,0.8387588858604431,0.8387766480445862,0.4999801814556122,0.0,0.49993106722831726,0.49999380111694336,0.5,0.5,0.06355171650648117,0.00041564449202269316,0.06340906769037247,0.06353410333395004,0.06363677978515625,0.0636393204331398,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5022322535514832,0.0010066175600513816,0.5013335347175598,0.5022961497306824,0.502655565738678,0.5027227401733398,0.15545734763145447,0.0030050131026655436,0.15177007019519806,0.15513832867145538,0.15754549205303192,0.15769782662391663,0.49805450439453125,0.0001726334885461256,0.49807560443878174,0.498046875,0.498046875,0.498046875,0.8403702974319458,0.0,0.8403639793395996,0.8403711318969727,0.8403741717338562,0.8403720259666443,0.5,0.0,0.5,0.5,0.5,0.5,0.07053966820240021,0.00164611148647964,0.0709221363067627,0.07059241086244583,0.07033691555261612,0.07027260959148407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5019114017486572,0.0007720404537394643,0.5020416975021362,0.5019640922546387,0.5018003582954407,0.5018291473388672,0.15269432961940765,0.002167822327464819,0.15046463906764984,0.15217070281505585,0.1541563719511032,0.1541801542043686,0.5,0.0,0.5,0.5,0.5,0.5,fla,"[2, 5, 8, 11]",4000,"[201326592, 201326592, 209387552, 201326592, 201326592, 209387552, 201326592, 201326592, 209387552, 201326592, 201326592, 209387552]","[1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480]",17760,6,e0_original,13662048,32475208,32475208,2,1940.09326171875,2060.0,pilot,bf16,0,100.0,"[6, 64, 64]",64000,"[None, None, 'lr', None, None, 'rl', None, None, 'tb', None, None, 'bt']",11,0,outputs/pilot_m1_separated_seed11/final_metrics.json,500,0,256,0.05622926657088101,0,0.9826288983225823,0.9911074808415244,0.9821115920118465,0.9789449155330658,0.9775916376924203,94.94962289300747
uniform,0.0,"[493191168, 493191168, 501252128, 493191168, 493191168, 501252128, 493191168, 493191168, 501252128, 493191168, 493191168, 501252128]","['softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory']","analytic dense MACs per image; one multiply-accumulate=1 MAC; includes patch/timestep projections, mixer projections, softmax QK+AV or the operator-equivalent GDN2 state recurrence, FFN, adaLN and output projection; excludes bias, normalization, nonlinear activation, trigonometric embedding and additions",0.009761483036402042,-0.003393927589058876,5.49905002117379e-05,35.14133889996447,12,128,01m32s,2,42.2475106685633,1,1.422475106685633,00m00s,0.0,train,pilot_m2_adaptive_seed11,adaptive,11.906875648,5.953437824,0.026282333727512094,0.49078676104545593,m2_adaptive,384,32,726.7696102240607,5953437824,500,0.8077130317687988,0.000244140625,0.8077871799468994,0.8077375292778015,0.807669460773468,0.8076513409614563,0.4976455867290497,0.0007720404537394643,0.4973575472831726,0.4976363480091095,0.49779054522514343,0.49782347679138184,0.03949623182415962,0.000587314716540277,0.03996223211288452,0.03943726420402527,0.0392608642578125,0.03928510099649429,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5030779242515564,0.0011708573438227177,0.5015825033187866,0.5033015608787537,0.5037569999694824,0.5038003325462341,0.14100314676761627,0.0011890112655237317,0.1400548219680786,0.14070552587509155,0.1416035145521164,0.14173445105552673,0.5,0.0,0.5,0.5,0.5,0.5,0.8352864384651184,0.0,0.8352047204971313,0.8352941870689392,0.8353212475776672,0.835332453250885,0.498046875,0.0,0.498046875,0.498046875,0.498046875,0.498046875,0.033454325050115585,0.00041184600559063256,0.03358010575175285,0.03345581889152527,0.03339080885052681,0.0333794504404068,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.4997783601284027,0.00045674529974348843,0.4997117519378662,0.4996298551559448,0.4998352527618408,0.4999452531337738,0.15253759920597076,0.0025631133466959,0.1492997407913208,0.15212026238441467,0.1543806940317154,0.15463609993457794,0.5,0.0,0.5,0.5,0.5,0.5,0.8387247323989868,0.0,0.8386936187744141,0.8387184739112854,0.8387359976768494,0.8387537002563477,0.4995742738246918,0.0008004685514606535,0.4991498291492462,0.4994713068008423,0.49981689453125,0.49989786744117737,0.03187112882733345,0.00021253034356050193,0.03179393336176872,0.031864240765571594,0.03191375732421875,0.03191939368844032,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5022634863853455,0.0009917039424180984,0.501364529132843,0.502322793006897,0.5026912093162537,0.5027546882629395,0.1547016054391861,0.0030250910203903913,0.15097840130329132,0.1543930023908615,0.15680572390556335,0.15695469081401825,0.49807435274124146,0.00027295752079226077,0.4981502890586853,0.498046875,0.498046875,0.498046875,0.840437114238739,0.0,0.8404326438903809,0.8404382467269897,0.8404402136802673,0.840437650680542,0.5,0.0,0.5,0.5,0.5,0.5,0.03542223200201988,0.0008281320333480835,0.035615451633930206,0.03546025976538658,0.035315703600645065,0.03527991473674774,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5019530653953552,0.0006686066626571119,0.5021000504493713,0.5020036101341248,0.5018317103385925,0.5018643736839294,0.15237697958946228,0.0021746852435171604,0.15015065670013428,0.1518598347902298,0.1538345068693161,0.1538570672273636,0.5,0.0,0.5,0.5,0.5,0.5,fla,"[2, 5, 8, 11]",4000,"[201326592, 201326592, 209387552, 201326592, 201326592, 209387552, 201326592, 201326592, 209387552, 201326592, 201326592, 209387552]","[1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480]",17760,6,e0_original,13662048,32475208,32475208,2,1940.09130859375,2060.0,pilot,bf16,0,100.0,"[6, 64, 64]",64000,"[None, None, 'lr', None, None, 'rl', None, None, 'tb', None, None, 'bt']",11,0,outputs/pilot_m2_adaptive_seed11/final_metrics.json,500,0,256,0.05664528999477625,0,0.982615302503109,0.9911007888176862,0.9820971686369294,0.9789281703531743,0.977574495123882,94.61639904498588
uniform,0.0,"[493191168, 493191168, 501252128, 493191168, 493191168, 501252128, 493191168, 493191168, 501252128, 493191168, 493191168, 501252128]","['softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory', 'softmax_attention', 'softmax_attention', 'gdn2_memory']","analytic dense MACs per image; one multiply-accumulate=1 MAC; includes patch/timestep projections, mixer projections, softmax QK+AV or the operator-equivalent GDN2 state recurrence, FFN, adaLN and output projection; excludes bias, normalization, nonlinear activation, trigonometric embedding and additions",0.010127225660026953,-0.0025909009855240583,5.4115802049614636e-05,36.45801142405253,12,128,01m34s,2,42.2475106685633,1,1.422475106685633,00m00s,0.0,train,pilot_ms_static_seed11,static,11.906875648,5.953437824,0.026648076351137005,0.8191701173782349,ms_static,384,32,709.8623875524981,5953437824,500,0.8077150583267212,0.000244140625,0.8077888488769531,0.8077394962310791,0.8076712489128113,0.8076531887054443,0.49765777587890625,0.0007623288547620177,0.49736329913139343,0.4976550042629242,0.49781495332717896,0.49782347679138184,0.03949737548828125,0.0005886017461307347,0.039965104311704636,0.03943648561835289,0.0392608642578125,0.039287492632865906,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5030773878097534,0.0011187929194420576,0.5015786290168762,0.5033013224601746,0.5037578344345093,0.5038011074066162,0.14100907742977142,0.0011890112655237317,0.14006130397319794,0.14071084558963776,0.14160925149917603,0.141740620136261,0.5,0.0,0.5,0.5,0.5,0.5,0.8352789282798767,0.0,0.835196852684021,0.8352868556976318,0.8353137969970703,0.835324764251709,0.498046875,0.0,0.498046875,0.498046875,0.498046875,0.498046875,0.033452607691287994,0.0004114217881578952,0.03357795253396034,0.03345504030585289,0.033386994153261185,0.0333794504404068,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.4997901916503906,0.0005179004510864615,0.49972212314605713,0.49964210391044617,0.49984779953956604,0.49995777010917664,0.15253721177577972,0.0025678325910121202,0.1492997705936432,0.15211953222751617,0.15438036620616913,0.1546357274055481,0.5,0.0,0.5,0.5,0.5,0.5,0.8387274146080017,0.0,0.8386959433555603,0.8387213945388794,0.8387389183044434,0.8387565016746521,0.49960023164749146,0.0007720404537394643,0.49917855858802795,0.4994961619377136,0.49982911348342896,0.49993616342544556,0.03187150880694389,0.00021307739370968193,0.031796086579561234,0.031864240765571594,0.031912993639707565,0.03191939368844032,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5022666454315186,0.0009611825807951391,0.5013661980628967,0.502325713634491,0.502694845199585,0.5027586817741394,0.15470409393310547,0.0030287832487374544,0.15097777545452118,0.15439662337303162,0.15680961310863495,0.15695808827877045,0.4980758726596832,0.0002990099892485887,0.49815604090690613,0.498046875,0.498046875,0.498046875,0.8404312133789062,0.0003452669770922512,0.8404269814491272,0.840432345867157,0.8404343724250793,0.8404318690299988,0.5,0.0,0.5,0.5,0.5,0.5,0.03542738035321236,0.0008272177656181157,0.035619039088487625,0.03546881303191185,0.03532104566693306,0.035283107310533524,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5019396543502808,0.0007117860950529575,0.5020837187767029,0.5019909143447876,0.5018199682235718,0.5018520951271057,0.15236224234104156,0.0021755415946245193,0.15013571083545685,0.15184347331523895,0.15382085740566254,0.15384317934513092,0.5,0.0,0.5,0.5,0.5,0.5,fla,"[2, 5, 8, 11]",4000,"[201326592, 201326592, 209387552, 201326592, 201326592, 209387552, 201326592, 201326592, 209387552, 201326592, 201326592, 209387552]","[1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480]",17760,6,e0_original,13662048,32475208,32475208,2,1940.09130859375,2060.0,pilot,bf16,0,100.0,"[6, 64, 64]",64000,"[None, None, 'lr', None, None, 'rl', None, None, 'tb', None, None, 'bt']",11,0,outputs/pilot_ms_static_seed11/final_metrics.json,500,0,256,0.05744831659831107,0,0.9826144278049469,0.9911003277582281,0.9820964186434533,0.9789270915091037,0.9775732389462539,95.93307156907395
