delta_fid_vs_control_mean,delta_fid_vs_control_sd,delta_gpu_hours_vs_control_mean,delta_gpu_hours_vs_control_sd,delta_kid_vs_control_mean,delta_kid_vs_control_sd,delta_precision_vs_control_mean,delta_precision_vs_control_sd,delta_recall_vs_control_mean,delta_recall_vs_control_sd,delta_train_loss_vs_control_mean,delta_train_loss_vs_control_sd,delta_validation_loss_vs_control_mean,delta_validation_loss_vs_control_sd,delta_wall_seconds_vs_control_mean,delta_wall_seconds_vs_control_sd,fid_mean,fid_sd,gmacs_per_image_mean,gmacs_per_image_sd,gpu_hours_mean,gpu_hours_sd,group,kid_mean,kid_sd,parameters_trainable_mean,parameters_trainable_sd,peak_allocated_mb_mean,peak_allocated_mb_sd,peak_reserved_mb_mean,peak_reserved_mb_sd,phase,precision_mean,precision_sd,recall_mean,recall_sd,run_count,step,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,wall_seconds_mean,wall_seconds_sd
,,,,,,,,,,,,,,,,54.471324718929154,6.371950630134172,5.953437824,0.0,0.9833292530776881,0.0017073611427617151,m0_coupled,0.03609522866047886,0.005528883229092038,32475208.0,0.0,5360.16015625,0.0,5610.0,0.0,replication,0.59078,0.009634417470714078,0.32494,0.027872710668322167,5,50000,0.03060089498758316,0.006023761495065431,0.030898695721030236,0.0006082918807073311,3539.9852999128866,6.146501030645203
-0.31671142477023295,3.215129178827668,0.0015383935653242142,0.001609606334931326,-0.0003102670781950055,0.003089451174288744,-0.00037999999999998034,0.003304844928283293,0.001000000000000012,0.012159358535712305,2.4263933300971986e-05,6.59007278840971e-05,1.3848901391028818e-05,3.08116651794239e-05,5.538217914942652,5.794584256617933,54.15461329415892,6.18485159680773,5.953437824,0.0,0.9848676466430123,0.0009385953334855803,m1_separated,0.03578496158228386,0.005357634002951612,32475208.0,0.0,5360.16015625,0.0,5610.0,0.0,replication,0.5904,0.011892014127135904,0.32594,0.025694902218144352,5,50000,0.030625158920884132,0.006057112238155751,0.030912544622421264,0.000590601399471951,3545.5235178278294,3.3789432159113617
