delta_fid_vs_control_mean,delta_fid_vs_control_sd,delta_gpu_hours_vs_control_mean,delta_gpu_hours_vs_control_sd,delta_kid_vs_control_mean,delta_kid_vs_control_sd,delta_precision_vs_control_mean,delta_precision_vs_control_sd,delta_recall_vs_control_mean,delta_recall_vs_control_sd,delta_train_loss_vs_control_mean,delta_train_loss_vs_control_sd,delta_validation_loss_vs_control_mean,delta_validation_loss_vs_control_sd,delta_wall_seconds_vs_control_mean,delta_wall_seconds_vs_control_sd,fid_mean,fid_sd,gmacs_per_image_mean,gmacs_per_image_sd,gpu_hours_mean,gpu_hours_sd,group,kid_mean,kid_sd,parameters_trainable_mean,parameters_trainable_sd,peak_allocated_mb_mean,peak_allocated_mb_sd,peak_reserved_mb_mean,peak_reserved_mb_sd,phase,precision_mean,precision_sd,recall_mean,recall_sd,run_count,step,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,wall_seconds_mean,wall_seconds_sd
,,,,,,,,,,,,,,,,67.87734881713888,9.620428708835696,6.05331456,0.0,0.6975808148189939,0.001620678559487134,e0_original,0.04784357336617301,0.009372624887047414,32475660.0,0.0,4359.40234375,0.0,4480.0,0.0,confirmation,0.58336,0.0071002112644625165,0.29208,0.030328814681751085,5,50000,0.031152919866144657,0.008941004654215521,0.03186932082176208,0.0010795050778273116,2511.2909229145384,5.834442666166944
-0.6363934460572068,11.53651416780124,0.28382278964594776,0.0037626404966718836,0.0003995490417082276,0.011272227244696115,0.011700000000000021,0.007816968721953553,-0.01455999999999999,0.03934682960544599,-2.7209706604480744e-05,4.503644824839279e-05,0.0001731830656528474,0.0001860669342390907,1021.7620430478361,13.54550600542941,67.24095537108168,10.815430908660971,5.953437824,0.0,0.9814036044649417,0.003998871432657313,m0_coupled,0.048243122407881235,0.010241884096361384,32475208.0,0.0,5359.73671875,0.9468350342225672,5604.0,13.416407864998739,confirmation,0.59506,0.005185364018080101,0.27752,0.024662461353238855,5,50000,0.031125710159540177,0.008950297256005565,0.03204250388741493,0.0012134334193679857,3533.0529659623744,14.39593737710382
-2.743568099060269,10.964955934571833,0.281035768164671,0.002156896581630893,-0.0016236969046422814,0.010489384902452385,0.015240000000000009,0.007728065734710118,-0.012039999999999995,0.04121144258576738,-7.661711424589157e-05,5.227730666527536e-05,0.00013812585830688464,0.0001859736460532569,1011.7287656174042,7.764827588945881,65.13378071807861,11.952415993644292,5.953437824,0.0,0.9786165829836649,0.0007273825441734686,m1_separated,0.04621987646153073,0.011061433184670316,32475208.0,0.0,5360.16015625,0.0,5610.0,0.0,confirmation,0.5986,0.007018190650018008,0.28004,0.039188684591346015,5,50000,0.031076302751898766,0.008935542999583074,0.03200744668006897,0.0012109539326678506,3523.019688531943,2.618577316996021
-5.380128222419353,12.325054703967599,0.28107043742550175,0.0025342479738246705,-0.003933892111062992,0.011792930439579859,0.018080000000000006,0.009068461832086015,-0.004919999999999991,0.03845369943191422,-4.913508892059326e-05,5.6926088679136554e-05,0.0001290428262948992,0.0001910329870663103,1011.8535751127172,9.123292496903753,62.497220594719536,7.368921200308712,5.953437824,0.0,0.9786512522444957,0.0011300052446213758,m2_adaptive,0.043909681255110015,0.007004707287151572,32475208.0,0.0,5357.041015625,6.970243148612625,5630.8,46.51021393199562,confirmation,0.60144,0.006935272164810865,0.28716,0.02068436607682237,5,50000,0.031103784777224065,0.00895144947437052,0.031998363648056985,0.0012033197672540778,3523.144498027256,4.068018887523718
-5.559561893519617,12.908056353106064,0.2818250089348811,0.0019427116717313524,-0.0040474821841488245,0.012242660450674256,0.017120000000000024,0.010876902132500785,-0.003499999999999992,0.03927079067194853,-4.7204643487930296e-05,3.121603799536418e-05,0.0001302679371833794,0.0001963029937901967,1014.5700324184727,6.993761793597974,62.317786923619266,8.374494004023427,5.953437824,0.0,0.9794058237538751,0.0003450269980151723,ms_static,0.04379609118202418,0.00783919725790024,32475208.0,0.0,5360.158203125,0.0,5610.0,0.0,confirmation,0.60048,0.006298174338647656,0.28858,0.02489090195231983,5,50000,0.031105715222656725,0.008931267896114465,0.031999588758945464,0.0012108079116768175,3525.860955333011,1.2420971216207106
