delta_fid_vs_control_mean,delta_fid_vs_control_sd,delta_gpu_hours_vs_control_mean,delta_gpu_hours_vs_control_sd,delta_kid_vs_control_mean,delta_kid_vs_control_sd,delta_precision_vs_control_mean,delta_precision_vs_control_sd,delta_recall_vs_control_mean,delta_recall_vs_control_sd,delta_train_loss_vs_control_mean,delta_train_loss_vs_control_sd,delta_validation_loss_vs_control_mean,delta_validation_loss_vs_control_sd,delta_wall_seconds_vs_control_mean,delta_wall_seconds_vs_control_sd,fid_mean,fid_sd,gmacs_per_image_mean,gmacs_per_image_sd,gpu_hours_mean,gpu_hours_sd,group,kid_mean,kid_sd,parameters_trainable_mean,parameters_trainable_sd,peak_allocated_mb_mean,peak_allocated_mb_sd,peak_reserved_mb_mean,peak_reserved_mb_sd,phase,precision_mean,precision_sd,recall_mean,recall_sd,run_count,step,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,wall_seconds_mean,wall_seconds_sd
0.6363934460572068,11.53651416780124,-0.28382278964594776,0.0037626404966718836,-0.0003995490417082276,0.011272227244696115,-0.011700000000000021,0.007816968721953553,0.01455999999999999,0.03934682960544599,2.7209706604480744e-05,4.503644824839279e-05,-0.0001731830656528474,0.0001860669342390907,-1021.7620430478361,13.54550600542941,67.87734881713888,9.620428708835696,6.05331456,0.0,0.6975808148189939,0.001620678559487134,e0_original,0.04784357336617301,0.009372624887047414,32475660.0,0.0,4359.40234375,0.0,4480.0,0.0,confirmation,0.58336,0.0071002112644625165,0.29208,0.030328814681751085,5,50000,0.031152919866144657,0.008941004654215521,0.03186932082176208,0.0010795050778273116,2511.2909229145384,5.834442666166944
,,,,,,,,,,,,,,,,67.24095537108168,10.815430908660971,5.953437824,0.0,0.9814036044649417,0.003998871432657313,m0_coupled,0.048243122407881235,0.010241884096361384,32475208.0,0.0,5359.73671875,0.9468350342225672,5604.0,13.416407864998739,confirmation,0.59506,0.005185364018080101,0.27752,0.024662461353238855,5,50000,0.031125710159540177,0.008950297256005565,0.03204250388741493,0.0012134334193679857,3533.0529659623744,14.39593737710382
-2.1071746530030624,3.5613294764286607,-0.0027870214812767634,0.004387983312012799,-0.002023245946350509,0.003189849441771908,0.0035399999999999876,0.005586859582985785,0.0025199999999999945,0.020799326912186385,-4.940740764141083e-05,3.87670779573456e-05,-3.505720734596277e-05,1.688273266765782e-05,-10.033277430431918,15.796740508023829,65.13378071807861,11.952415993644292,5.953437824,0.0,0.9786165829836649,0.0007273825441734686,m1_separated,0.04621987646153073,0.011061433184670316,32475208.0,0.0,5360.16015625,0.0,5610.0,0.0,confirmation,0.5986,0.007018190650018008,0.28004,0.039188684591346015,5,50000,0.031076302751898766,0.008935542999583074,0.03200744668006897,0.0012109539326678506,3523.019688531943,2.618577316996021
-4.743734776362146,6.08573309857054,-0.0027523522204460304,0.004944444922159778,-0.00433344115277122,0.0055552432016601335,0.0063799999999999855,0.006843756278535948,0.00964,0.015778402961009713,-2.192538231611252e-05,3.628029344644732e-05,-4.41402393579482e-05,5.7318150475085885e-05,-9.908467935118825,17.80000205643242,62.497220594719536,7.368921200308712,5.953437824,0.0,0.9786512522444957,0.0011300052446213758,m2_adaptive,0.043909681255110015,0.007004707287151572,32475208.0,0.0,5357.041015625,6.970243148612625,5630.8,46.51021393199562,confirmation,0.60144,0.006935272164810865,0.28716,0.02068436607682237,5,50000,0.031103784777224065,0.00895144947437052,0.031998363648056985,0.0012033197672540778,3523.144498027256,4.068018887523718
-4.923168447462411,5.870813546349033,-0.001997780711066666,0.004048936659811265,-0.004447031225857052,0.005349814454302871,0.005420000000000003,0.006141009688968076,0.011059999999999997,0.01284807378559138,-1.9994936883449556e-05,4.371814126011755e-05,-4.291512846946802e-05,5.753272419083247e-05,-7.192010629363358,14.576172092557359,62.317786923619266,8.374494004023427,5.953437824,0.0,0.9794058237538751,0.0003450269980151723,ms_static,0.04379609118202418,0.00783919725790024,32475208.0,0.0,5360.158203125,0.0,5610.0,0.0,confirmation,0.60048,0.006298174338647656,0.28858,0.02489090195231983,5,50000,0.031105715222656725,0.008931267896114465,0.031999588758945464,0.0012108079116768175,3525.860955333011,1.2420971216207106
