delta_fid_vs_control_mean,delta_fid_vs_control_sd,delta_gpu_hours_vs_control_mean,delta_gpu_hours_vs_control_sd,delta_kid_vs_control_mean,delta_kid_vs_control_sd,delta_precision_vs_control_mean,delta_precision_vs_control_sd,delta_recall_vs_control_mean,delta_recall_vs_control_sd,delta_train_loss_vs_control_mean,delta_train_loss_vs_control_sd,delta_validation_loss_vs_control_mean,delta_validation_loss_vs_control_sd,delta_wall_seconds_vs_control_mean,delta_wall_seconds_vs_control_sd,fid_mean,fid_sd,gmacs_per_image_mean,gmacs_per_image_sd,gpu_hours_mean,gpu_hours_sd,group,kid_mean,kid_sd,parameters_trainable_mean,parameters_trainable_sd,peak_allocated_mb_mean,peak_allocated_mb_sd,peak_reserved_mb_mean,peak_reserved_mb_sd,phase,precision_mean,precision_sd,recall_mean,recall_sd,run_count,step,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,wall_seconds_mean,wall_seconds_sd
,,,,,,,,,,,,,,,,60.85614004500542,10.739128196421246,5.953437824,0.0,0.982366428771315,0.0030712741777888233,m0_coupled,0.04216917553418005,0.010059750740574407,32475208.0,0.0,5359.9484375,0.6695134733637741,5607.0,9.486832980505138,pooled,0.59292,0.007634977988762583,0.30123,0.03521701135657154,10,50000,0.03086330257356167,0.0071977054329291894,0.031470599804222586,0.0010873260527660905,3536.5191329376307,11.056587209765883
-1.2119430388866477,3.3349144505777333,-0.0006243139579762746,0.0038608283324411217,-0.0011667565122727573,0.003095070158688112,0.0015800000000000037,0.004795321794323192,0.0017600000000000033,0.01608181858151898,-1.257173717021942e-05,6.40762005277405e-05,-1.0604152977466974e-05,3.4828245518882784e-05,-2.2475297577446325,13.898982927486681,59.64419700611877,10.676067954619,5.953437824,0.0,0.9817421148133386,0.003388373560106682,m1_separated,0.041002419021907294,0.009868337731107816,32475208.0,0.0,5360.16015625,0.0,5610.0,0.0,pooled,0.5945,0.010169671687041927,0.30299,0.03951223298619753,10,50000,0.03085073083639145,0.007200609359574395,0.03145999565124512,0.0010675987620205757,3534.271603179886,12.19814489598852
