delta_gpu_hours_vs_control_mean,delta_gpu_hours_vs_control_sd,delta_train_loss_vs_control_mean,delta_train_loss_vs_control_sd,delta_validation_loss_vs_control_mean,delta_validation_loss_vs_control_sd,delta_wall_seconds_vs_control_mean,delta_wall_seconds_vs_control_sd,gmacs_per_image_mean,gmacs_per_image_sd,gpu_hours_mean,gpu_hours_sd,group,parameters_trainable_mean,parameters_trainable_sd,peak_allocated_mb_mean,peak_allocated_mb_sd,peak_reserved_mb_mean,peak_reserved_mb_sd,phase,run_count,step,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,wall_seconds_mean,wall_seconds_sd
,,,,,,,,6.05331456,0.0,0.3043637554350102,0.0,e0_original,32475660.0,0.0,1708.15185546875,0.0,1794.0,0.0,pilot,1,10000,0.04087873094249517,0.0,0.21835198476910592,0.0,1095.7095097310375,0.0
0.2001307203685994,0.0,-0.0001547632273286581,0.0,-0.003892124630510807,0.0,720.4705933269579,0.0,5.953437824,0.0,0.5044944758036096,0.0,m0_coupled,32475208.0,0.0,1930.57373046875,0.0,2048.0,0.0,pilot,1,10000,0.04072396771516651,0.0,0.2144598601385951,0.0,1816.1801030579954,0.0
0.1972624019860975,0.0,-9.048380888998508e-06,0.0,-0.003964449279010296,0.0,710.1446462690365,0.0,5.953437824,0.0,0.5016261574211077,0.0,m1_separated,32475208.0,0.0,1930.57373046875,0.0,2048.0,0.0,pilot,1,10000,0.04086968256160617,0.0,0.21438753549009562,0.0,1805.854156000074,0.0
0.20015185675525576,0.0,0.00022441311739385128,0.0,-0.002229704894125467,0.0,720.5466844389448,0.0,5.953437824,0.0,0.504515612190266,0.0,m2_adaptive,32475208.0,0.0,1930.57177734375,0.0,2048.0,0.0,pilot,1,10000,0.04110314405988902,0.0,0.21612227987498045,0.0,1816.2561941699823,0.0
0.19670795179276163,0.0,-8.685525972396135e-05,0.0,-0.002191842533648014,0.0,708.1486266249558,0.0,5.953437824,0.0,0.5010717072277718,0.0,ms_static,32475208.0,0.0,1930.57177734375,0.0,2048.0,0.0,pilot,1,10000,0.040791875682771206,0.0,0.2161601422354579,0.0,1803.8581363559933,0.0
