delta_fid_vs_control_mean,delta_fid_vs_control_sd,delta_gpu_hours_vs_control_mean,delta_gpu_hours_vs_control_sd,delta_train_loss_vs_control_mean,delta_train_loss_vs_control_sd,delta_validation_loss_vs_control_mean,delta_validation_loss_vs_control_sd,delta_wall_seconds_vs_control_mean,delta_wall_seconds_vs_control_sd,fid_mean,fid_sd,gmacs_per_image_mean,gmacs_per_image_sd,gpu_hours_mean,gpu_hours_sd,group,parameters_trainable_mean,parameters_trainable_sd,peak_allocated_mb_mean,peak_allocated_mb_sd,peak_reserved_mb_mean,peak_reserved_mb_sd,phase,run_count,step,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,wall_seconds_mean,wall_seconds_sd
,,,,,,,,,,66.75490790312472,9.12154582130263,6.05331456,0.0,0.6984717338362976,0.001351007517447032,e0_original,32475660.0,0.0,4359.40234375,0.0,4480.0,0.0,confirmation,3,50000,0.03512991654376189,0.00927282964961509,0.0311890721142292,0.0006802999974049875,2514.498231307914,4.863626875986227
-4.460928011914935,14.521383526967984,0.28544634929202767,0.004184158990251826,-3.364061315854391e-05,5.295840820021861e-05,0.00011099417408307287,0.00022890840114725856,1027.6068579754017,15.062972423464553,62.29397989120978,5.632099583005601,5.953437824,0.0,0.9839180831283253,0.0028616054115045567,m0_coupled,32475208.0,0.0,5359.454427083333,1.2223587730499108,5600.0,17.320508075688775,confirmation,3,50000,0.03509627593060335,0.009314581216995058,0.03130006628831228,0.0008412126102413,3542.1050892833155,10.301779640836585
-7.51584343837239,15.584425473539355,0.2793875714792456,0.001437517433326566,-3.64560013016065e-05,4.056059773284936e-05,7.095449666182317e-05,0.0002437882380892138,1005.795257763161,5.175062383088703,59.239064464752325,7.636981522729584,5.953437824,0.0,0.9778593053155432,0.0003560200470882707,m2_adaptive,32475208.0,0.0,5360.158203125,0.0,5610.0,0.0,confirmation,3,50000,0.035093460542460285,0.0092990904415547,0.03126002661089103,0.0008602612062910733,3520.293489071075,1.2816718055364282
-8.13343403363507,16.461589631218796,0.28078613603209507,0.0017098155703942387,-4.196943094333013e-05,3.2030184394369724e-05,7.350466847419815e-05,0.0002541100493321974,1010.8300901200467,6.155335904265164,58.62147386948965,8.661708290748896,5.953437824,0.0,0.9792578698683927,0.0003850216466231301,ms_static,32475208.0,0.0,5360.158203125,0.0,5610.0,0.0,confirmation,3,50000,0.03508794711281856,0.009257375861461449,0.0312625767827034,0.0008814745610853076,3525.3283214279604,1.3860779285145626
